"query_id","accession","title","organism","description","url","search_date","source_db"
"BP_Q1","PRJNA431279","Mouse colon contents, colonized with human fecal samples (TD or ASD) Raw sequence reads","mouse gut metagenome","Autism spectrum disorders (ASD) manifest with changes in social communication and repetitive behaviors. In addition to genetic alterations, the gut microbiome differs between typically-developing (TD) and ASD individuals, though it is unclear whether or how this contributes to etiology. We transplanted gut microbiota via fecal transfer from TD and ASD children into germ-free wild-type mice, and reveal that colonization with ASD microbiomes induces hallmark changes in sociability, vocalization, a","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA431279","2026-04-02","bioproject"
"BP_Q1","PRJEB23052","gut metagenome of ASD","","The composition of the gut microbiota has been linked to many central nervoussystem disorders, including neuropsychiatric disorders such as autism spectrumdisorders (ASDs). Several studies have shown that changes in the microbiomemay contribute to the symptoms of ASD, and a recently published study showedthat fecal microbiota transfer therapy significantly improved autism symptoms.We performed shotgun metagenome sequencing of ASD patients (n = 43) and TD children (n = 31).","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB23052","2026-04-02","bioproject"
"BP_Q1","PRJEB14629","Clinically-relevant gut microbial dysbiosis and hyperserotonemia in two mouse models of autism","","Autism spectrum disorder (ASD) is often accompanied by comorbidities such as increased serotonin, gastrointestinal disorders, and inflammatory bowel disease (IBD), albeit the underlying cause for such comorbidities remains uncertain. We report that maternal injection of poly I:C and VPA results in a distinct pattern of microbial dysbiosis in the offspring that highly recapitulates those reported in clinical cases of ASD and IBD. Such microbial dysbiosis resulted in notable perturbations in metab","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB14629","2026-04-02","bioproject"
"BP_Q1","PRJEB15418","Characterization of the gut microbiota associated with ASDs through high-throughput sequencing of the V3V5 region of 16S bacterial rRNA and of the ITS1 region of the fungal rRNA","","Autism Spectrum Disorders (ASDs) are neurodevelopmental disorders characterized by social and behavioural impairments. In addition to neurological symptoms, ASDs subjects frequently suffer from gastrointestinal abnormalities, thus implying a role of the gut microbiota in ASDs gastrointestinal physiology. Here we characterized the gut microbiota in a cohort of autistic individuals demonstrating the presence of an altered microbial community both at bacterial and fungal level. We observed a reduce","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB15418","2026-04-02","bioproject"
"BP_Q1","PRJEB15420","ASD gut mycobiota","","Neurotypical controls used for the characterization of the ASD gut mycobiota","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB15420","2026-04-02","bioproject"
"BP_Q1","PRJNA362687","Oral microbial changes in ASD children","oral metagenome","This project depicts the characteristics of oral microbiome in autistic children.","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA362687","2026-04-02","bioproject"
"BP_Q1","PRJNA362482","gut metagenome Metagenome","gut metagenome","Recent studies have suggested that CNS diseases such as Autism, Multiple sclerosis, Parkinson's disease，Anxiety and Depression are associted with gut microbiota. The aim of this study was to evaluate the alteration of gut microbiota between children with refractory epilepsy and healthy controls.","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA362482","2026-04-02","bioproject"
"BP_Q1","PRJNA355083","Gut microbiota signature in RETT syndrome","human gut metagenome","Rett syndrome (RTT) patients are characterized by an altered gastrointestinal homeostasis that results in gastrointestinal discomfort, persistent inflammation and altered immune responses. Changes in microbiota composition, as observed in other neurological disorders such as autism, may account for several typical symptoms associated to RTT. Recent studies have suggested that changes in the bacteria (microbiota) of the gastrointestinal tract may affect the function of the nervous system. In this","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA355083","2026-04-02","bioproject"
"BP_Q1","PRJEB13363","Effect of anaerobic soil disinfestation on soilborne phytopathogenic agents and bacterial community under walnut tree-crop nursery conditions","","Anaerobic Soil Disinfestation (ASD) is a chemical-independent approach to manage soilborne phytopathogens. While it has been demonstrated that ASD can suppress phytopathogens in vegetable cropping systems, it has not been examined for control of tree-crop diseases. We examined the potential of ASD to manage soilborne populations of Agrobacterium tumefaciens and Pythium ultimum under walnut nursery conditions and compared the efficacy of ASD with the chemical fumigant Telone-C35. Mesh bags of ste","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB13363","2026-04-02","bioproject"
"BP_Q1","PRJNA327785","feces metagenome Targeted Locus (Loci)","feces metagenome","reveal the bacteria related to vitamin A in children with ASD","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA327785","2026-04-02","bioproject"
"BP_Q1","PRJEB11419","American Gut Project","","The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease","https://www.ncbi.nlm.nih.gov/bioproject/PRJEB11419","2026-04-02","bioproject"
"BP_Q1","PRJNA291739","synthetic metagenome Raw sequence reads","synthetic metagenome","In silico truth datasets for metagenomic algorithm evaluations","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA291739","2026-04-02","bioproject"
"BP_Q1","PRJNA282013","Autism Gut targeted loci","human gut metagenome","Comparison of the gut microbiota of children with ASD and their neurotypical siblings using 16S rRNA gene sequencing.","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA282013","2026-04-02","bioproject"
"BP_Q1","PRJNA243592","Gut microbiome metabolites alter genomic networks in PC12 cells relevant to autism spectrum diorders","Rattus norvegicus","Alterations in the composition of the gut microbiome have an emerging role in brain function and behaviour. We have porposed that short chain fatty acids (SCFA) including propionate and butyrate which are present in the diet and are fermantation products of many gastrointestinal bacteria are contributing environmental factors in autism spectrum disorders (ASD). Here we used the microarray technology to compare global changes in gene expression profiles following exposure of PC12 cells to structu","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA243592","2026-04-02","bioproject"
"BP_Q1","PRJNA238362","MORE RNAseq analysis of MazF in M. tuberculosis","Escherichia coli str. K-12 substr. MG1655","Toxin-antitoxin (TA) systems are widespread in bacteria. Among these, the mazEF TA system encodes an endoribonucleolytic toxin, MazF, that inhibits growth by sequence-specific cleavage of single-stranded RNA. Defining the physiological targets of a MazF toxin first requires the identification of its cleavage specificity, yet the current toolkit is antiquated and limited. We describe a rapid, genome-scale approach, MORE (Mapping by Overexpression of an RNase in E. coli) RNA-seq, for defining the","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA238362","2026-04-02","bioproject"
