query_id,accession,title,organism,description,url,search_date,source_db
MG_Q1,MGYS00000596,"American Gut Project",Homo sapiens,"The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America.",https://www.ebi.ac.uk/metagenomics/studies/MGYS00000596,2026-04-02,mgnify
MG_Q1,MGYS00006102,"EMG produced TPA metagenomics assembly of PRJEB44042 data set (Kefir ameliorates specific microbiota-gut-brain axis impairments in a mouse model relevant to autism spectrum disorder).",Mus musculus,"The Third Party Annotation (TPA) assembly was derived from the primary whole genome shotgun (WGS) data set PRJEB44042, and was assembled with metaSPAdes v3.15.3. This project includes samples from the following biomes: root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal.",https://www.ebi.ac.uk/metagenomics/studies/MGYS00006102,2026-04-02,mgnify
MG_Q2,MGYS00002238,"Oral microbial changes in ASD children",Homo sapiens,"This project depicts the characteristics of oral microbiome in autistic children.",https://www.ebi.ac.uk/metagenomics/studies/MGYS00002238,2026-04-02,mgnify
